City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,chuy,64,UY,1511027848,80,-33.7,-53.46,61.57,22.84
1,tsihombe,8,MG,1511027857,71,-25.3,45.48,67.1,6.17
2,ostrovnoy,80,RU,1511027960,98,68.05,39.51,21.97,5.17
3,bengkulu,76,ID,1511027813,100,-3.8,102.27,78.62,6.85
4,mataura,0,IN,1511027786,75,27.5,77.68,64.31,7.07
5,nikolskoye,40,RU,1511024400,86,59.68,30.67,37.4,4.47
6,grand gaube,40,MU,1511024400,78,-20.01,57.66,77.0,3.36
7,busselton,76,AU,1511027962,100,-33.65,115.33,61.12,10.87
8,avarua,75,CK,1511024400,83,-21.21,-159.78,77.0,13.87
9,kodiak,1,US,1511023980,64,57.79,-152.41,33.8,3.36
10,punta arenas,75,CL,1511024400,70,-53.15,-70.92,42.8,34.45
11,caceres,0,ES,1511027963,87,39.48,-6.37,50.81,4.27
12,norman wells,90,CA,1511024400,70,65.28,-126.83,-4.01,10.29
13,hobart,0,AU,1511024400,72,-42.88,147.33,60.8,8.05
14,bilma,0,NE,1511027964,24,18.69,12.92,70.39,7.07
15,ancud,92,CL,1511027965,100,-41.87,-73.82,52.52,9.19
16,castro,80,BR,1511027966,78,-24.79,-50.01,73.49,11.99
17,atar,0,MR,1511027966,12,20.52,-13.05,80.87,6.29
18,sinjar,0,IQ,1511027967,47,36.32,41.88,49.42,5.95
19,ibra,0,OM,1511027967,70,22.69,58.53,53.42,2.37
20,cidreira,88,BR,1511027826,79,-30.18,-50.21,75.02,10.2
21,nanakuli,1,US,1511024640,82,21.39,-158.15,77.0,5.82
22,tigil,88,RU,1511027968,82,57.8,158.67,21.52,5.61
23,atasu,88,KZ,1511027968,91,48.68,71.64,28.54,20.49
24,bougouni,12,ML,1511027969,33,11.42,-7.48,86.9,4.94
25,ushuaia,75,AR,1511024400,93,-54.8,-68.3,35.6,28.86
26,carnarvon,0,AU,1511027969,100,-24.87,113.63,68.14,13.0
27,puerto ayora,40,EC,1511024400,50,-0.74,-90.35,77.0,16.11
28,vaini,75,TO,1511025900,94,-21.2,-175.2,78.8,16.58
29,torbay,90,CA,1511026080,93,47.67,-52.73,42.8,2.24
30,thompson,75,CA,1511025840,71,55.74,-97.86,8.6,20.8
31,kristiinankaupunki,92,FI,1511027970,100,62.27,21.38,34.12,4.94
32,hilo,1,US,1511023980,82,19.73,-155.09,62.6,4.7
33,jian,92,CN,1511027971,91,27.12,114.98,48.02,10.87
34,ahipara,92,NZ,1511027972,99,-35.17,173.17,56.39,20.71
35,alofi,88,NU,1511024400,100,-19.06,-169.92,77.0,5.82
36,gizo,64,SB,1511027973,100,-8.1,156.84,83.93,4.5
37,qaanaaq,32,GL,1511027973,100,77.48,-69.36,-3.02,10.76
38,hermanus,0,ZA,1511027759,59,-34.42,19.23,63.23,3.71
39,mar del plata,40,AR,1511024400,62,-38.0,-57.56,57.2,9.17
40,camacha,40,PT,1511026200,68,33.08,-16.33,68.0,8.05
41,cape town,20,ZA,1511024400,72,-33.93,18.42,64.4,16.11
42,airai,92,FI,1511025600,100,60.62,22.58,39.2,4.7
43,yatou,76,CN,1511027915,99,37.15,122.38,35.51,10.98
44,binga,44,ZW,1511027975,64,-17.62,27.34,80.29,5.73
45,chiredzi,8,ZW,1511027975,60,-21.05,31.67,76.28,8.75
46,chowchilla,0,US,1511026500,81,37.12,-120.26,50.0,4.7
47,butaritari,0,KI,1511027976,100,3.07,172.79,83.44,1.14
48,khatanga,24,RU,1511027847,60,71.97,102.5,-6.53,11.32
49,nizhneyansk,90,RU,1511024400,97,55.64,51.82,32.0,17.9
50,ixtapa,5,MX,1511023320,48,20.7,-105.2,86.0,4.7
51,tuktoyaktuk,90,CA,1511024400,84,69.45,-133.04,3.2,9.17
52,jamestown,90,US,1511024160,87,42.1,-79.24,46.4,11.41
53,phangnga,40,TH,1511024400,88,8.45,98.53,80.6,2.24
54,northam,75,GB,1511025600,87,51.03,-4.22,53.6,9.17
55,kapaa,1,US,1511024160,100,22.08,-159.32,66.2,8.05
56,yorosso,0,ML,1511027978,38,12.35,-4.78,86.05,3.04
57,xining,76,CN,1511027941,86,36.62,101.77,14.58,2.71
58,surt,8,LY,1511027979,97,31.21,16.59,64.9,10.54
59,bluff,0,NZ,1511027956,100,-46.6,168.33,50.63,9.98
60,rikitea,48,PF,1511027980,100,-23.12,-134.97,73.0,18.59
61,ushumun,0,RU,1511027980,57,52.78,126.53,-12.38,6.4
62,tazovskiy,76,RU,1511027981,78,67.47,78.7,2.35,6.62
63,labuhan,76,ID,1511027915,100,-6.88,112.21,80.92,6.62
64,luderitz,0,NA,1511027981,57,-26.65,15.16,64.31,17.13
65,albany,90,US,1511024280,55,42.65,-73.76,44.6,9.17
66,abu dhabi,0,AE,1511024400,61,24.47,54.37,78.8,8.05
67,north bend,1,US,1511025300,86,43.41,-124.22,41.0,5.82
68,doha,20,QA,1511024400,57,25.29,51.53,78.8,5.82
69,longyearbyen,40,SJ,1511023800,62,78.22,15.64,24.8,14.99
70,gorontalo,92,ID,1511027982,97,0.54,123.06,74.3,1.92
71,halvad,0,IN,1511027983,63,23.02,71.18,62.87,4.72
72,talnakh,36,RU,1511027983,95,69.49,88.4,-16.25,3.15
73,harper,40,LR,1511024400,83,4.38,-7.72,82.4,6.93
74,tilichiki,32,RU,1511027984,86,60.47,166.1,25.38,15.68
75,ponta do sol,40,PT,1511026200,72,32.67,-17.1,68.0,11.41
76,atuona,80,PF,1511027767,100,-9.8,-139.03,79.25,15.68
77,saint-philippe,0,RE,1511026200,83,-21.36,55.77,77.0,4.7
78,hithadhoo,56,MV,1511027985,100,-0.6,73.08,82.85,9.86
79,port elizabeth,0,ZA,1511024400,82,-33.92,25.57,60.8,5.82
80,lichinga,56,MZ,1511027985,97,-13.31,35.24,66.07,2.82
81,kruisfontein,0,ZA,1511027905,87,-34.0,24.73,60.94,7.96
82,kavaratti,0,IN,1511027986,100,10.57,72.64,83.57,3.15
83,port alfred,0,ZA,1511027986,88,-33.59,26.89,62.47,6.17
84,upernavik,0,GL,1511027987,100,72.79,-56.15,8.65,13.78
85,bredasdorp,0,ZA,1511024400,52,-34.53,20.04,69.8,13.87
86,djenne,12,ML,1511027988,24,13.91,-4.55,84.02,9.19
87,taolanaro,75,MG,1511024400,78,-25.02,46.97,75.2,3.36
88,dingle,76,PH,1511027989,93,11.0,122.67,76.28,2.93
89,taoudenni,0,ML,1511027796,13,22.68,-3.98,71.24,8.41
90,damietta,20,EG,1511024400,83,31.42,31.81,71.6,9.17
91,ha tinh,100,VN,1511027990,100,18.33,105.9,73.31,23.96
92,solnechnyy,44,RU,1511027971,78,50.72,136.63,-8.01,4.16
93,richards bay,0,ZA,1511027990,62,-28.78,32.04,72.14,8.52
94,vila,0,PT,1511026200,71,42.03,-8.16,55.4,2.24
95,east london,0,ZA,1511024400,68,-33.02,27.91,64.4,4.7
96,mackay,40,AU,1511024400,73,-21.15,149.2,75.2,10.29
97,kautokeino,80,NO,1511027993,84,69.01,23.04,21.74,4.72
98,makungu,20,TZ,1511027993,59,-8.73,35.28,74.3,4.94
99,dinguiraye,44,GN,1511027994,27,11.3,-10.72,87.8,4.83
100,cherskiy,92,RU,1511027994,88,68.75,161.3,13.01,5.39
101,pangnirtung,5,CA,1511024400,42,66.15,-65.71,6.8,6.51
102,bima,44,ID,1511027995,100,-8.47,118.72,75.74,3.15
103,katsuura,75,JP,1511024400,42,35.13,140.3,48.2,23.04
104,palabuhanratu,68,ID,1511027754,100,-6.95,106.49,81.86,16.02
105,margate,90,GB,1511025600,81,51.38,1.39,50.0,8.05
106,georgetown,75,GY,1511024400,66,6.8,-58.16,89.6,9.17
107,new norfolk,0,AU,1511024400,72,-42.78,147.06,60.8,8.05
108,portland,90,US,1511025900,93,45.52,-122.68,42.8,3.36
109,russell,20,US,1511025120,70,38.9,-98.86,48.2,27.51
110,baijiantan,64,CN,1511027998,97,45.63,85.18,29.75,5.61
111,broken hill,0,AU,1511027998,87,-31.95,141.43,57.74,8.52
112,souillac,40,MU,1511024400,78,-20.52,57.52,77.0,3.36
113,laguna,1,US,1511026500,80,38.42,-121.42,53.6,8.05
114,teguise,20,ES,1511026200,73,29.06,-13.56,69.8,13.87
115,okha,76,RU,1511027999,99,53.57,142.95,22.19,24.63
116,srednekolymsk,68,RU,1511027999,71,67.45,153.68,-2.3,7.96
117,sale,0,MA,1511026200,55,34.04,-6.82,60.8,4.7
118,ukiah,1,US,1511024160,86,39.15,-123.21,37.4,3.6
119,arraial do cabo,0,BR,1511024400,70,-22.97,-42.03,89.6,20.8
120,aksarka,88,RU,1511028001,88,66.56,67.8,16.16,3.6
121,tasiilaq,20,GL,1511023800,52,65.61,-37.64,17.6,4.7
122,vila franca do campo,20,PT,1511026200,82,37.72,-25.43,66.2,5.82
123,constitucion,0,CL,1511028006,72,-35.33,-72.42,62.02,16.8
124,attawapiskat,80,CA,1511027902,89,52.3,-81.62,27.55,10.2
125,faanui,80,PF,1511028010,100,-16.48,-151.75,78.22,18.7
126,sokyryany,92,UA,1511028011,96,48.45,27.42,37.54,3.04
127,cabedelo,75,BR,1511024400,58,-6.98,-34.83,84.2,13.87
128,chokurdakh,80,RU,1511027843,81,70.63,147.92,6.08,13.0
129,port hardy,90,CA,1511024400,93,50.7,-127.42,42.8,13.87
130,port lincoln,24,AU,1511028014,95,-34.73,135.87,62.51,14.0
131,astoria,90,US,1511024100,93,46.19,-123.83,42.8,3.27
132,qasigiannguit,20,GL,1511027400,54,68.82,-51.19,-0.41,1.12
133,olinda,40,BR,1511028000,65,-8.01,-34.86,82.4,9.17
134,adrar,0,DZ,1511024400,20,27.87,-0.29,73.4,9.17
135,inta,44,RU,1511028019,73,66.03,60.17,8.06,2.59
136,trinidad,40,CU,1511024040,69,21.8,-79.98,80.6,10.29
137,havoysund,68,NO,1511025600,100,71.0,24.66,30.2,4.94
138,qaqortoq,90,GL,1511027400,57,60.72,-46.03,23.0,4.7
139,tumannyy,80,RU,1511028020,100,69.16,35.15,23.09,2.59
140,fort nelson,75,CA,1511024400,77,58.81,-122.7,-0.41,6.93
141,paamiut,76,GL,1511027911,100,61.99,-49.67,31.64,3.15
142,iqaluit,40,CA,1511024400,56,63.75,-68.51,12.2,14.99
143,gigmoto,48,PH,1511028022,100,13.78,124.39,79.61,4.38
144,kungsbacka,75,SE,1511025600,80,57.49,12.08,41.0,12.75
145,svetlyy,90,RU,1511026200,65,54.67,20.13,41.0,17.9
146,george,20,ZA,1511024400,67,-33.96,22.46,62.6,4.7
147,bukene,48,TZ,1511028024,30,-4.23,32.88,83.03,12.77
148,hambantota,64,LK,1511028024,100,6.12,81.12,81.82,2.15
149,mys shmidta,48,UA,1511027802,93,47.75,38.03,32.5,6.96
150,marcona,0,PE,1511027957,90,-15.37,-75.16,64.9,13.33
151,innisfail,92,AU,1511028025,87,-17.53,146.03,70.07,0.47
152,clyde river,40,CA,1511024400,75,70.47,-68.59,-16.61,1.36
153,pevek,88,RU,1511027809,86,69.7,170.31,25.57,15.46
154,shingu,0,JP,1511028026,100,33.73,135.98,53.65,20.83
155,de-kastri,56,RU,1511028026,100,51.47,140.78,8.2,17.47
156,kamyshla,92,RU,1511028027,93,54.12,52.14,32.54,9.42
157,husavik,40,IS,1511024400,85,66.04,-17.34,21.2,2.24
158,provideniya,92,RU,1511028028,100,64.38,-173.3,34.3,28.32
159,batagay-alyta,64,RU,1511027959,69,67.8,130.41,-7.02,2.71
160,joensuu,90,FI,1511027400,93,62.58,29.75,35.6,2.24
161,natal,40,BR,1511024400,62,-5.79,-35.21,84.2,18.34
162,grindavik,75,IS,1511026200,100,63.84,-22.43,32.0,5.82
163,sisimiut,8,GL,1511028030,100,66.94,-53.67,-11.93,3.94
164,necochea,12,AR,1511027935,88,-38.55,-58.74,56.21,18.81
165,the valley,40,AI,1511024400,70,18.22,-63.06,86.0,4.7
166,fortuna,1,US,1511026500,93,40.6,-124.16,42.8,9.17
167,bathsheba,40,BB,1511024400,70,13.22,-59.52,87.8,16.11
168,dikson,12,RU,1511027804,100,73.51,80.55,-4.32,10.42
169,eyl,0,SO,1511028032,85,7.98,49.82,79.25,21.05
